"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.0094818828310193,0.0165932949542838,0.0220115137148662,0.0653572637995259,0.268201828648832,0.847612597358618,0.951574669827294
"0.05",0.0494412461903149,0.0667118184896715,0.091432441584829,0.207246867592279,0.589908567558415,0.940060954961057,0.976972570267525
"0.1",0.0995597697257027,0.132069082289197,0.171689806975957,0.34744327802235,0.789028107009821,0.964781578056214,0.989163562478835
"0.2",0.199458178123942,0.247544869624111,0.303420250592618,0.553335590924484,0.910938029122926,0.98306806637318,0.996952251947172
"0.3",0.299356586522181,0.364036572976634,0.444293938367762,0.747375550287843,0.956315611242804,0.994920419911954,1
"0.4",0.399593633592956,0.477480528276329,0.580088046054859,0.877412800541822,0.979343040975279,0.998306806637318,1
"0.5",0.499492041991195,0.601083643752117,0.702675245513038,0.945817812394175,0.992549949204199,1,1
"0.6",0.599390450389435,0.701320690822892,0.812394175414832,0.976972570267525,0.997968167964782,1,1
"0.7",0.69962749746021,0.803928208601422,0.913985777175753,0.991872671859126,1,1,1
"0.8",0.799525905858449,0.913308499830681,0.982729427700643,0.999322722654927,1,1,1
"0.9",0.899424314256688,0.992211310531663,0.998984083982391,1,1,1,1
"1",0.999661361327464,1,1,1,1,1,1
